,precision,recall,f1-score,support
approaching,1.0,0.9807692307692307,0.9902912621359223,52.0
departing,0.984375,1.0,0.9921259842519685,63.0
rotating,1.0,1.0,1.0,56.0
seated,0.9607843137254902,0.9607843137254902,0.9607843137254902,51.0
upright,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
accuracy,0.981203007518797,0.981203007518797,0.981203007518797,0.981203007518797
macro avg,0.9799409536541891,0.9792197998080351,0.9795494029317672,266.0
weighted avg,0.9812617481203008,0.981203007518797,0.9811995587930151,266.0
